"vuln_id","url","package","version_local","severity","grype","osv","sum","sortcol"
"GHSA-w596-4wvx-j9j6","https://osv.dev/GHSA-w596-4wvx-j9j6","py","1.11.0","","0","1","1","2024A1708041600"
"CVE-2024-39684","https://nvd.nist.gov/vuln/detail/CVE-2024-39684","rapidjson","1.1.0","7.8","1","0","1","2024A0000039684"
"CVE-2024-38517","https://nvd.nist.gov/vuln/detail/CVE-2024-38517","rapidjson","1.1.0","7.8","1","0","1","2024A0000038517"
"CVE-2024-37407","https://nvd.nist.gov/vuln/detail/CVE-2024-37407","libarchive","3.7.2","9.1","1","0","1","2024A0000037407"
"CVE-2024-35328","https://nvd.nist.gov/vuln/detail/CVE-2024-35328","libyaml","0.2.5","7.5","1","0","1","2024A0000035328"
"CVE-2024-34459","https://nvd.nist.gov/vuln/detail/CVE-2024-34459","libxml2","2.12.6","","1","0","1","2024A0000034459"
"CVE-2024-34397","https://nvd.nist.gov/vuln/detail/CVE-2024-34397","glib","2.78.4","","1","0","1","2024A0000034397"
"CVE-2024-33871","https://nvd.nist.gov/vuln/detail/CVE-2024-33871","ghostscript","10.02.1","8.8","1","0","1","2024A0000033871"
"CVE-2024-33870","https://nvd.nist.gov/vuln/detail/CVE-2024-33870","ghostscript","10.02.1","","1","0","1","2024A0000033870"
"CVE-2024-33869","https://nvd.nist.gov/vuln/detail/CVE-2024-33869","ghostscript","10.02.1","","1","0","1","2024A0000033869"
"CVE-2024-32465","https://nvd.nist.gov/vuln/detail/CVE-2024-32465","git","2.44.0","7.3","1","0","1","2024A0000032465"
"CVE-2024-32021","https://nvd.nist.gov/vuln/detail/CVE-2024-32021","git","2.44.0","3.9","1","0","1","2024A0000032021"
"CVE-2024-32020","https://nvd.nist.gov/vuln/detail/CVE-2024-32020","git","2.44.0","3.9","1","0","1","2024A0000032020"
"CVE-2024-32004","https://nvd.nist.gov/vuln/detail/CVE-2024-32004","git","2.44.0","8.1","1","0","1","2024A0000032004"
"CVE-2024-32002","https://nvd.nist.gov/vuln/detail/CVE-2024-32002","git","2.44.0","9","1","0","1","2024A0000032002"
"CVE-2024-29511","https://nvd.nist.gov/vuln/detail/CVE-2024-29511","ghostscript","10.02.1","7.5","1","0","1","2024A0000029511"
"CVE-2024-29510","https://nvd.nist.gov/vuln/detail/CVE-2024-29510","ghostscript","10.02.1","6.3","1","0","1","2024A0000029510"
"CVE-2024-29509","https://nvd.nist.gov/vuln/detail/CVE-2024-29509","ghostscript","10.02.1","","1","0","1","2024A0000029509"
"CVE-2024-29508","https://nvd.nist.gov/vuln/detail/CVE-2024-29508","ghostscript","10.02.1","","1","0","1","2024A0000029508"
"CVE-2024-29507","https://nvd.nist.gov/vuln/detail/CVE-2024-29507","ghostscript","10.02.1","","1","0","1","2024A0000029507"
"CVE-2024-29506","https://nvd.nist.gov/vuln/detail/CVE-2024-29506","ghostscript","10.02.1","","1","0","1","2024A0000029506"
"CVE-2024-28182","https://nvd.nist.gov/vuln/detail/CVE-2024-28182","nghttp2","1.60.0","5.3","1","0","1","2024A0000028182"
"CVE-2024-26256","https://nvd.nist.gov/vuln/detail/CVE-2024-26256","libarchive","3.7.2","7.8","1","0","1","2024A0000026256"
"CVE-2024-24246","https://nvd.nist.gov/vuln/detail/CVE-2024-24246","qpdf","11.9.0","5.5","1","0","1","2024A0000024246"
"CVE-2024-20697","https://nvd.nist.gov/vuln/detail/CVE-2024-20697","libarchive","3.7.2","7.3","1","0","1","2024A0000020697"
"CVE-2024-5535","https://nvd.nist.gov/vuln/detail/CVE-2024-5535","openssl","3.0.13","9.1","1","0","1","2024A0000005535"
"CVE-2024-4603","https://nvd.nist.gov/vuln/detail/CVE-2024-4603","openssl","3.0.13","","1","0","1","2024A0000004603"
"CVE-2024-4317","https://nvd.nist.gov/vuln/detail/CVE-2024-4317","postgresql","15.6","3.1","1","0","1","2024A0000004317"
"CVE-2024-2511","https://nvd.nist.gov/vuln/detail/CVE-2024-2511","openssl","3.0.13","","1","0","1","2024A0000002511"
"CVE-2024-0684","https://nvd.nist.gov/vuln/detail/CVE-2024-0684","coreutils","9.4","5.5","1","0","1","2024A0000000684"
"OSV-2024-440","https://osv.dev/OSV-2024-440","jq","1.7.1","","0","1","1","2024A0000000440"
"OSV-2024-396","https://osv.dev/OSV-2024-396","jq","1.7.1","","0","1","1","2024A0000000396"
"OSV-2024-395","https://osv.dev/OSV-2024-395","libpcap","1.10.4","","0","1","1","2024A0000000395"
"OSV-2024-371","https://osv.dev/OSV-2024-371","jq","1.7.1","","0","1","1","2024A0000000371"
"OSV-2024-330","https://osv.dev/OSV-2024-330","jq","1.7.1","","0","1","1","2024A0000000330"
"OSV-2024-251","https://osv.dev/OSV-2024-251","ghostscript","10.02.1","","0","1","1","2024A0000000251"
"OSV-2024-80","https://osv.dev/OSV-2024-80","ghostscript","10.02.1","","0","1","1","2024A0000000080"
"CVE-2023-52722","https://nvd.nist.gov/vuln/detail/CVE-2023-52722","ghostscript","10.02.1","","1","0","1","2023A0000052722"
"CVE-2023-52356","https://nvd.nist.gov/vuln/detail/CVE-2023-52356","libtiff","4.6.0","7.5","1","0","1","2023A0000052356"
"CVE-2023-48795","https://nvd.nist.gov/vuln/detail/CVE-2023-48795","libssh2","1.11.0","5.9","1","0","1","2023A0000048795"
"CVE-2023-46361","https://nvd.nist.gov/vuln/detail/CVE-2023-46361","jbig2dec","0.20","6.5","1","0","1","2023A0000046361"
"CVE-2023-37769","https://nvd.nist.gov/vuln/detail/CVE-2023-37769","pixman","0.43.4","6.5","1","0","1","2023A0000037769"
"BIT-timescaledb-2023-25149","https://osv.dev/BIT-timescaledb-2023-25149","timescaledb","2.9.1","","0","1","1","2023A0000025149"
"CVE-2023-25149","https://nvd.nist.gov/vuln/detail/CVE-2023-25149","timescaledb","2.9.1","8.8","1","0","1","2023A0000025149"
"BIT-vault-2023-25000","https://osv.dev/BIT-vault-2023-25000","vault","0.2.9","","0","1","1","2023A0000025000"
"BIT-vault-2023-24999","https://osv.dev/BIT-vault-2023-24999","vault","0.2.9","","0","1","1","2023A0000024999"
"CVE-2023-7216","https://nvd.nist.gov/vuln/detail/CVE-2023-7216","cpio","2.15","5.3","1","0","1","2023A0000007216"
"BIT-vault-2023-6337","https://osv.dev/BIT-vault-2023-6337","vault","0.2.9","","0","1","1","2023A0000006337"
"CVE-2023-6277","https://nvd.nist.gov/vuln/detail/CVE-2023-6277","libtiff","4.6.0","6.5","1","0","1","2023A0000006277"
"CVE-2023-6228","https://nvd.nist.gov/vuln/detail/CVE-2023-6228","libtiff","4.6.0","5.5","1","0","1","2023A0000006228"
"CVE-2023-5841","https://nvd.nist.gov/vuln/detail/CVE-2023-5841","openexr","2.5.10","9.1","1","0","1","2023A0000005841"
"CVE-2023-5341","https://nvd.nist.gov/vuln/detail/CVE-2023-5341","imagemagick","7.1.1-29","5.5","1","0","1","2023A0000005341"
"CVE-2023-4016","https://nvd.nist.gov/vuln/detail/CVE-2023-4016","procps","3.3.17","3.3","1","0","1","2023A0000004016"
"BIT-vault-2023-2121","https://osv.dev/BIT-vault-2023-2121","vault","0.2.9","","0","1","1","2023A0000002121"
"OSV-2023-1344","https://osv.dev/OSV-2023-1344","jq","1.7.1","","0","1","1","2023A0000001344"
"OSV-2023-1329","https://osv.dev/OSV-2023-1329","jq","1.7.1","","0","1","1","2023A0000001329"
"OSV-2023-1307","https://osv.dev/OSV-2023-1307","libbpf","1.3.0","","0","1","1","2023A0000001307"
"OSV-2023-1079","https://osv.dev/OSV-2023-1079","ghostscript","10.02.1","","0","1","1","2023A0000001079"
"OSV-2023-877","https://osv.dev/OSV-2023-877","libbpf","1.3.0","","0","1","1","2023A0000000877"
"BIT-vault-2023-0665","https://osv.dev/BIT-vault-2023-0665","vault","0.2.9","","0","1","1","2023A0000000665"
"BIT-vault-2023-0620","https://osv.dev/BIT-vault-2023-0620","vault","0.2.9","","0","1","1","2023A0000000620"
"OSV-2023-505","https://osv.dev/OSV-2023-505","file","5.45","","0","1","1","2023A0000000505"
"OSV-2023-298","https://osv.dev/OSV-2023-298","cairo","1.18.0","","0","1","1","2023A0000000298"
"OSV-2023-197","https://osv.dev/OSV-2023-197","p11-kit","0.25.3","","0","1","1","2023A0000000197"
"OSV-2023-137","https://osv.dev/OSV-2023-137","harfbuzz","8.3.0","","0","1","1","2023A0000000137"
"OSV-2023-34","https://osv.dev/OSV-2023-34","ghostscript","10.02.1","","0","1","1","2023A0000000034"
"CVE-2022-48468","https://nvd.nist.gov/vuln/detail/CVE-2022-48468","protobuf-c","unstable-2023-07-08","5.5","1","0","1","2022A0000048468"
"PYSEC-2022-42969","https://osv.dev/PYSEC-2022-42969","py","1.11.0","","0","1","1","2022A0000042969"
"CVE-2022-42969","https://nvd.nist.gov/vuln/detail/CVE-2022-42969","py","1.11.0","7.5","1","0","1","2022A0000042969"
"BIT-vault-2022-41316","https://osv.dev/BIT-vault-2022-41316","vault","0.2.9","","0","1","1","2022A0000041316"
"MAL-2022-5590","https://osv.dev/MAL-2022-5590","rapidjson","1.1.0","","0","1","1","2022A0000005590"
"MAL-2022-4301","https://osv.dev/MAL-2022-4301","libidn2","2.3.7","","0","1","1","2022A0000004301"
"CVE-2022-3219","https://nvd.nist.gov/vuln/detail/CVE-2022-3219","gnupg","2.4.5","3.3","1","0","1","2022A0000003219"
"OSV-2022-819","https://osv.dev/OSV-2022-819","libraw","0.21.2","","0","1","1","2022A0000000819"
"OSV-2022-524","https://osv.dev/OSV-2022-524","ghostscript","10.02.1","","0","1","1","2022A0000000524"
"OSV-2022-193","https://osv.dev/OSV-2022-193","w3m","0.5.3+git20230121","","0","1","1","2022A0000000193"
"OSV-2022-73","https://osv.dev/OSV-2022-73","ghostscript","10.02.1","","0","1","1","2022A0000000073"
"BIT-vault-2021-41802","https://osv.dev/BIT-vault-2021-41802","vault","0.2.9","","0","1","1","2021A0000041802"
"BIT-vault-2021-38554","https://osv.dev/BIT-vault-2021-38554","vault","0.2.9","","0","1","1","2021A0000038554"
"BIT-vault-2021-27400","https://osv.dev/BIT-vault-2021-27400","vault","0.2.9","","0","1","1","2021A0000027400"
"CVE-2021-26945","https://nvd.nist.gov/vuln/detail/CVE-2021-26945","openexr","2.5.10","5.5","1","0","1","2021A0000026945"
"CVE-2021-26260","https://nvd.nist.gov/vuln/detail/CVE-2021-26260","openexr","2.5.10","5.5","1","0","1","2021A0000026260"
"CVE-2021-23215","https://nvd.nist.gov/vuln/detail/CVE-2021-23215","openexr","2.5.10","5.5","1","0","1","2021A0000023215"
"CVE-2021-23169","https://nvd.nist.gov/vuln/detail/CVE-2021-23169","openexr","2.5.10","8.8","1","0","1","2021A0000023169"
"CVE-2021-4048","https://nvd.nist.gov/vuln/detail/CVE-2021-4048","lapack","3","9.1","1","0","1","2021A0000004048"
"CVE-2021-3933","https://nvd.nist.gov/vuln/detail/CVE-2021-3933","openexr","2.5.10","5.5","1","0","1","2021A0000003933"
"CVE-2021-3605","https://nvd.nist.gov/vuln/detail/CVE-2021-3605","openexr","2.5.10","5.5","1","0","1","2021A0000003605"
"CVE-2021-3598","https://nvd.nist.gov/vuln/detail/CVE-2021-3598","openexr","2.5.10","5.5","1","0","1","2021A0000003598"
"BIT-vault-2021-3024","https://osv.dev/BIT-vault-2021-3024","vault","0.2.9","","0","1","1","2021A0000003024"
"OSV-2021-777","https://osv.dev/OSV-2021-777","libxml2","2.12.6","","0","1","1","2021A0000000777"
"BIT-vault-2020-25594","https://osv.dev/BIT-vault-2020-25594","vault","0.2.9","","0","1","1","2020A0000025594"
